Area,Bedrooms,Bathrooms,Age,Location,Price
3360,2,3,37,Suburbs,523684.0
4191,1,2,20,Uptown,796293.0
3765,2,2,19,Uptown,777674.0
4443,2,2,2,Suburbs,706339.0
4650,1,3,21,Suburbs,787349.0
1672,5,3,46,Rural,327911.0
2052,2,1,3,Uptown,430659.0
2114,1,1,27,Uptown,350890.0
3698,2,3,11,Downtown,932371.0
877,3,2,37,Rural,183602.0
3421,5,2,35,Downtown,904002.0
1400,4,2,46,Uptown,325050.0
1865,2,1,40,Downtown,465159.0
2936,3,2,4,Uptown,621810.0
3249,4,1,12,Uptown,716351.0
3143,4,1,22,Downtown,816021.0
2663,2,2,49,Downtown,583212.0
2118,1,2,29,Suburbs,373462.0
4397,2,3,36,Suburbs,673766.0
4562,3,3,24,Suburbs,799449.0
2990,4,2,47,Uptown,566809.0
1792,2,1,26,Downtown,486604.0
3512,1,1,13,Rural,418367.0
2992,2,1,47,Uptown,512369.0
2048,5,1,46,Rural,299403.0
3854,1,1,35,Downtown,832179.0
4833,3,3,38,Uptown,967953.0
2797,4,2,15,Rural,441083.0
4487,2,3,21,Rural,596637.0
2951,1,1,20,Suburbs,470209.0
4818,5,1,20,Suburbs,832592.0
3910,1,1,7,Suburbs,634909.0
2770,5,1,48,Uptown,537635.0
997,3,2,15,Downtown,319890.0
3426,4,1,30,Downtown,852133.0
2002,3,2,41,Suburbs,333452.0
2835,2,1,9,Suburbs,479991.0
1277,1,2,31,Suburbs,212052.0
2054,5,3,33,Rural,315172.0
1722,5,1,8,Suburbs,332953.0
1219,1,2,16,Rural,221479.0
3004,1,3,10,Downtown,807964.0
3397,2,1,31,Uptown,630729.0
1920,3,1,9,Uptown,461283.0
3868,5,1,21,Uptown,818794.0
1750,2,2,16,Uptown,359778.0
3136,3,2,3,Rural,483512.0
3043,2,3,47,Rural,440103.0
3445,5,2,46,Suburbs,593919.0
2657,1,2,24,Rural,337927.0
2665,1,1,20,Suburbs,419495.0
3712,3,1,36,Suburbs,551343.0
3653,4,1,37,Uptown,733532.0
4028,3,1,48,Rural,476027.0
4519,4,1,0,Rural,619313.0
4028,2,1,24,Suburbs,630456.0
3171,2,1,35,Suburbs,536283.0
3691,5,3,16,Downtown,1043320.0
4556,4,3,40,Downtown,1124791.0
894,5,3,23,Suburbs,292903.0
3474,1,3,1,Downtown,900392.0
2755,4,1,39,Downtown,740468.0
1593,3,3,14,Suburbs,308942.0
2634,1,1,31,Suburbs,430631.0
2916,1,3,38,Rural,370323.0
4906,3,2,5,Suburbs,834377.0
4125,1,3,0,Suburbs,646960.0
3719,4,3,46,Uptown,797549.0
3397,5,1,22,Rural,458310.0
4005,1,3,38,Rural,514208.0
1614,4,2,16,Rural,224077.0
1145,2,1,33,Uptown,189952.0
3149,4,1,40,Suburbs,518836.0
1162,5,3,28,Rural,197899.0
3243,4,1,8,Rural,435996.0
3065,3,1,12,Downtown,766024.0
2988,5,1,5,Rural,428643.0
3805,2,1,5,Suburbs,638458.0
4081,3,1,19,Suburbs,634813.0
1784,4,1,2,Downtown,583976.0
2439,5,2,16,Rural,352933.0
1627,2,3,48,Rural,185925.0
3530,3,2,11,Rural,467364.0
4331,2,1,47,Uptown,828925.0
3735,4,1,46,Rural,496495.0
4676,2,3,44,Suburbs,761917.0
926,1,2,0,Suburbs,160053.0
3977,3,3,16,Uptown,777907.0
3856,2,2,2,Uptown,736233.0
1403,4,1,25,Rural,195171.0
4249,4,3,14,Downtown,1167906.0
4946,2,3,35,Uptown,906415.0
4333,4,1,31,Uptown,812313.0
4167,5,3,31,Rural,620507.0
4168,5,2,3,Rural,558949.0
4597,5,2,17,Uptown,993137.0
2592,1,2,48,Downtown,579846.0
3661,2,2,18,Uptown,748003.0
4276,1,1,42,Rural,511207.0
4217,4,3,34,Rural,597152.0
2445,1,2,39,Uptown,430864.0
2005,4,1,13,Downtown,552960.0
3830,4,3,32,Uptown,812587.0
3672,3,3,13,Uptown,729057.0
3872,5,1,33,Rural,560405.0
2654,4,1,3,Downtown,759072.0
4821,3,2,23,Suburbs,757196.0
3508,5,3,28,Downtown,972623.0
4302,4,3,18,Uptown,926340.0
2132,4,1,5,Uptown,495130.0
1001,1,3,32,Uptown,179395.0
4307,1,2,48,Downtown,927135.0
1374,5,3,39,Rural,276116.0
1336,4,1,18,Uptown,343399.0
2425,2,1,0,Uptown,523617.0
2922,1,2,4,Downtown,737608.0
1185,5,2,26,Suburbs,266532.0
4081,4,3,15,Suburbs,757859.0
1274,4,3,5,Rural,277413.0
1217,2,1,39,Rural,167095.0
4400,5,2,12,Uptown,956284.0
1754,4,2,47,Downtown,496068.0
2005,1,2,34,Uptown,414384.0
4920,2,3,18,Rural,673558.0
2790,5,2,11,Downtown,841799.0
4372,2,1,15,Downtown,1075122.0
4958,1,1,42,Rural,564616.0
3513,5,3,9,Suburbs,642955.0
3003,2,3,24,Suburbs,468088.0
3920,3,2,19,Downtown,975919.0
1766,1,3,30,Uptown,343257.0
4232,1,1,3,Suburbs,659916.0
1488,1,2,43,Uptown,262874.0
4501,3,1,22,Suburbs,760441.0
1141,3,2,1,Suburbs,233532.0
2524,4,3,21,Uptown,585183.0
2592,2,2,36,Rural,310634.0
2559,4,2,7,Suburbs,504639.0
4012,2,1,6,Suburbs,601664.0
1789,3,1,13,Uptown,445992.0
3062,3,2,2,Rural,428062.0
3282,4,3,49,Suburbs,531966.0
1751,5,3,15,Suburbs,363605.0
1522,4,1,18,Rural,276085.0
4189,2,3,17,Suburbs,715940.0
2879,4,1,15,Rural,425951.0
3517,1,3,7,Rural,506754.0
3132,2,2,32,Uptown,602658.0
4176,2,1,48,Downtown,963208.0
2300,5,1,11,Rural,358124.0
1085,3,2,10,Uptown,258009.0
4295,2,1,4,Downtown,1002601.0
2865,3,3,26,Suburbs,519574.0
1568,4,3,11,Downtown,514342.0
3857,1,1,16,Rural,448285.0
2961,5,3,5,Rural,452073.0
4093,3,1,32,Rural,555348.0
1746,2,2,4,Rural,233636.0
4135,3,1,27,Rural,569298.0
4950,2,2,13,Uptown,925360.0
2281,3,3,4,Rural,335311.0
2701,2,2,32,Uptown,506996.0
4251,4,3,49,Suburbs,696117.0
4864,2,1,47,Rural,604507.0
854,2,3,40,Rural,150527.0
2623,1,1,18,Downtown,638965.0
4262,2,1,21,Suburbs,670314.0
3879,1,2,4,Rural,456358.0
1632,5,2,1,Rural,327429.0
3606,1,2,29,Suburbs,562419.0
3290,4,2,46,Uptown,623042.0
1127,1,3,38,Rural,155892.0
4110,5,3,3,Downtown,1102139.0
4100,4,3,32,Rural,612361.0
4475,3,1,12,Downtown,1119486.0
3854,3,3,19,Downtown,1039865.0
2943,1,3,6,Rural,401093.0
2111,1,3,14,Rural,278874.0
3991,5,2,22,Downtown,1028599.0
3338,5,3,13,Suburbs,668586.0
4783,2,1,22,Suburbs,727131.0
964,5,2,18,Rural,244804.0
1622,2,1,28,Uptown,355366.0
1743,4,3,19,Suburbs,342154.0
1574,1,2,28,Rural,251393.0
2998,4,1,23,Suburbs,565808.0
3956,5,3,17,Uptown,823173.0
4495,4,1,9,Rural,627839.0
4252,4,1,40,Uptown,835743.0
1714,4,1,7,Rural,229074.0
2108,5,3,25,Uptown,542720.0
4977,4,3,28,Suburbs,840784.0
1313,2,1,9,Suburbs,240241.0
2720,5,2,16,Uptown,669268.0
4394,4,2,1,Uptown,877314.0
2209,5,3,5,Uptown,522991.0
3990,3,3,4,Rural,556915.0
2355,2,3,27,Suburbs,444814.0
1604,4,3,40,Rural,290006.0
2079,3,3,4,Suburbs,379476.0
4377,3,2,17,Downtown,1130330.0
3701,5,3,25,Rural,497250.0
2187,3,1,19,Suburbs,340878.0
3561,2,1,40,Suburbs,556664.0
3479,2,2,48,Rural,437744.0
2906,1,1,26,Rural,323803.0
3568,2,2,48,Suburbs,550259.0
4753,3,2,11,Rural,667638.0
3986,2,1,6,Uptown,769212.0
4080,5,3,2,Rural,615269.0
3373,1,1,9,Rural,451546.0
3399,3,1,33,Rural,477439.0
4833,1,2,24,Suburbs,702985.0
1036,3,1,34,Uptown,226425.0
2104,5,2,15,Downtown,613141.0
4230,1,3,1,Downtown,1050725.0
2101,4,3,23,Uptown,473734.0
3341,3,3,9,Uptown,692205.0
2851,4,1,37,Uptown,577730.0
1241,1,2,21,Suburbs,263752.0
2876,4,3,25,Downtown,803496.0
3980,4,2,42,Uptown,847227.0
3457,1,2,38,Suburbs,493881.0
4598,5,3,26,Downtown,1226977.0
1604,4,3,28,Rural,306306.0
874,4,2,46,Suburbs,229819.0
2975,5,3,37,Downtown,844389.0
4724,4,2,19,Suburbs,788946.0
2889,4,2,26,Downtown,796436.0
840,4,3,40,Downtown,320978.0
2881,2,1,19,Rural,336774.0
2422,5,3,43,Suburbs,471034.0
1141,4,1,18,Uptown,276401.0
4852,5,2,19,Rural,697481.0
2874,3,2,34,Rural,385801.0
1445,3,1,46,Downtown,400043.0
1409,4,2,1,Uptown,394617.0
1254,5,1,29,Suburbs,308677.0
3753,5,1,33,Uptown,818574.0
2508,5,2,21,Uptown,574671.0
4272,2,1,2,Uptown,881805.0
3769,3,3,5,Uptown,753257.0
3828,5,3,14,Uptown,886265.0
3481,5,2,26,Downtown,972388.0
4429,2,2,9,Downtown,1109257.0
3867,2,1,8,Rural,500634.0
2186,5,1,32,Downtown,645429.0
4576,1,1,31,Rural,514935.0
3666,5,1,47,Rural,445786.0
4163,5,3,5,Suburbs,745221.0
4924,2,3,40,Uptown,974206.0
948,2,2,35,Downtown,281711.0
4650,5,1,1,Suburbs,860066.0
2858,5,1,28,Downtown,744296.0
1936,5,2,3,Rural,372342.0
986,2,1,0,Downtown,315089.0
3654,5,1,18,Uptown,822307.0
2050,5,1,25,Rural,341369.0
2133,4,1,24,Rural,264653.0
4993,1,1,9,Suburbs,755523.0
4950,3,2,14,Uptown,1029107.0
3511,1,1,21,Rural,423394.0
2585,4,2,47,Uptown,568262.0
1550,3,1,20,Downtown,481206.0
2562,5,3,21,Uptown,647420.0
4720,4,3,35,Rural,621767.0
1281,5,3,33,Suburbs,275349.0
953,2,3,29,Rural,200564.0
